"day","price"
2013-11-01,4.219
2013-11-02,4.25
2013-11-05,4.242
2013-11-06,4.184
2013-11-07,4.223
2013-11-08,4.371
2013-11-09,4.176
2013-11-12,4.222
2013-11-13,4.166
2013-11-14,4.218
2013-11-15,4.15
2013-11-16,4.2
2013-11-19,4.41
2013-11-20,4.453
2013-11-21,4.446
2013-11-22,4.44
2013-11-23,4.374
2013-11-26,4.245
2013-11-27,4.345
2013-11-28,4.258
2013-11-29,4.5
2013-11-30,4.532
2013-12-03,4.83
2013-12-04,4.789
2013-12-05,4.971
2013-12-06,5.003
2013-12-07,4.97
2013-12-10,4.911
2013-12-11,4.93
2013-12-12,5.13
2013-12-13,5.2
2013-12-14,5.389
2013-12-17,5.489
2013-12-18,5.538
2013-12-19,5.69
2013-12-20,5.432
2013-12-21,5.477
2013-12-24,5.448
2013-12-27,5.33
2013-12-28,5.31
2013-12-31,5.09
2013-01-02,5.403
2013-01-03,5.506
2013-01-04,5.604
2013-01-07,5.696
2013-01-08,5.825
2013-01-09,5.7
2013-01-10,5.565
2013-01-11,5.7
2013-01-14,5.528
2013-01-15,5.5
2013-01-16,5.4
2013-01-17,5.541
2013-01-18,5.63
2013-01-21,5.702
2013-01-22,5.617
2013-01-23,5.65
2013-01-24,5.719
